Apprentissage,Catégorie,Date session,Décision,Exemples,Notes,Statut,Tags
Proscrire « veuillez » dans erreurs,Politesse/registre,2025/09/22,« veuillez » à proscrire dans les messages d'erreur/avertissement,Please try again → Réessayez (pas « Veuillez réessayer »),Messages d'erreur plus directs,Actif,Récurrent
ICU pluriels avec insécables,Formats,2025/09/22,"Modèle validé « {count, plural, one {#°propriété sélectionnée} other {#°propriétés sélectionnées}} »",1 selected property → 1°propriété sélectionnée,Insécables dans les pluriels ICU,Actif,Récurrent
Web search : IA de Notion,Terminologie,2025/09/22,« AI Web Search » → « Recherche sur le Web avec l'IA » ; « Enable web search for workspace » → « Activer la recherche sur le Web pour l'espace de travail »,AI Web Search → Recherche sur le Web avec l'IA,Terminologie produit spécifique,Actif,Glossaire à MAJ
Subitem filtering,Terminologie,2025/09/29,Traduire « sub‑item filtering » par « filtrage des sous‑éléments » (UI et aide).,learn about subitem filtering → En savoir plus sur le filtrage des sous‑éléments,Conserver le trait d’union insécable dans « sous‑éléments » selon style établi.,Actif,Glossaire à MAJ
Marqueur hc: → « aide : »,Contexte UI,2025/09/29,Toujours rendre le préfixe « hc: » en « aide : » en tête de ligne pour les segments centre d’aide.,hc: learn about subitem filtering → aide : En savoir plus sur le filtrage des sous‑éléments,Rappel Pensine + Checklist Traduction.,Actif,Récurrent
Aucun tiret de séparation en français,Typographie,2025/09/29,"Règle absolue : AUCUN tiret cadratin pour séparer les phrases en français. Jamais. Utiliser virgules, deux-points ou restructurer.","« normal — soit » → « normal, soit » ou « normal : soit »",Directive explicite d'Audrey. Zéro exception.,Actif,"Récurrent, Urgent"
« priorité absolue » → « priorité »,Style et ton,2025/09/29,« priorité absolue » sonne corporate/traduit. Simplifier à « priorité » ou « priorité numéro un ».,« reste notre priorité absolue » → « reste notre priorité »,Éviter les superlatifs traduits littéralement,Actif,Récurrent
Alternatives à « forte valeur ajoutée »,Style et ton,2025/09/29,Éviter « forte valeur ajoutée » (trop corporate/traduit). Préférer expressions plus naturelles.,"« ce qui génère des résultats », « ce qui fait la différence », « l'essentiel »",Rechercher formulations plus natives françaises pour concepts business,Actif,Récurrent
prompt = instruction (IA),Terminologie,2025/09/29,« prompt » se traduit par « instruction » dans le contexte IA,prompt injection → injection d'instructions,"Terminologie IA en expansion, terme clé pour Notion 3.0",Actif,"Glossaire à MAJ, Récurrent"
Messages d'erreur : ton direct vs explicatif,Style et ton,2025/09/30,"Messages d'erreur directs : « Impossible de... » // Messages explicatifs : « Vous ne pouvez pas... » selon le contexte (""Explains to user"")","❌ Direct (court) : « Impossible d'ajouter des membres restreints »
✅ Explicatif : « Vous ne pouvez pas ajouter de membres restreints en tant que propriétaires... »","Vérifier la note de description (tags: in-Job) pour identifier si c'est explicatif (""Explains"") ou simplement une erreur technique.",Actif,Récurrent
Messages d'erreur : structure claire,Style et ton,2025/10/06,"Pour les messages d'erreur « not found », privilégier « Aucun... trouvé avec... » plutôt que « Aucun résultat pour... »",« Existing Notion user not found with the provided email » → « Aucun utilisateur Notion trouvé avec l'adresse e-mail fournie » (pas « Aucun résultat pour l'utilisateur... »),Plus direct et naturel pour un message d'erreur,Actif,Récurrent
Placeholders à l'infinitif,Contexte UI,2025/10/06,Les placeholders doivent utiliser l'infinitif pour cohérence avec les CTAs et tooltips,« Select one or more project types » → « Sélectionner un ou plusieurs types de projet »,"Décision prise pour maintenir la cohérence du ton UI, même si non explicitement dans le SG",Actif,Récurrent
Captions descriptives : indicatif présent,Contexte UI,2025/10/06,"Pour les captions qui décrivent ce qu'une option fait, utiliser l'indicatif présent (3e personne), pas l'infinitif ou l'impératif","« Fills the first 1,000 rows » → « Remplit les 1000 premières lignes » (avec le 't')","C'est descriptif, pas une commande",Actif,Récurrent
Types de + singulier,Formats,2025/10/06,"Après « type(s) de », utiliser le singulier car on fait référence à la catégorie abstraite","types de projet, types de fichier, types de document (pas « types de projets »)",,Actif,Récurrent
Format des audit logs,Contexte UI,2025/10/06,"Pour les entrées d'audit log, utiliser la forme verbale passive : « Le paramètre... a été modifié/activé/désactivé »",« Toggled require SAML authorization for workspace access » → « Le paramètre exigeant l'authentification SAML pour accéder à l'espace de travail a été activé/désactivé »,,Actif,Récurrent
Session articles centre d'aide : Map view et Place property,Terminologie,2025/10/06,Nouvelle propriété Lieu et vue Carte introduites. Préfixe hc: = aide : pour les callouts d'aide. Forfait Enterprise reste en anglais. Débat épingle vs repère (Google Maps utilise repère).,"Place property → propriété Lieu
Map view → vue Carte
Slider menu → menu dépliant
Map by → Organiser par
Current location → position actuelle (non emplacement actuel)",,Actif,Glossaire à MAJ
Section All-day avec guillemets français,Typographie,2025/10/06,La section « All-day » doit être traduite avec guillemets français et insécables : Section «°Toute la journée°»,All-day section → Section «°Toute la journée°» (insécables après « et avant »),Cas particulier nécessitant guillemets français dans l'interface.,Actif,Récurrent
expand = agrandir (pas développer),Terminologie,2025/10/06,"Pour les actions UI, « expand » = « agrandir » et « collapse » = « réduire »",Expand all-day section → Agrandir la section «°Toute la journée°» ; Collapse → Réduire,,Actif,Glossaire à MAJ
panel vs volet dans l'UI,Terminologie,2025/10/06,"« panel » = « panneau » dans l'UI Notion (ex: context panel = panneau contextuel, list panel = panneau de liste)",context panel → panneau contextuel ; list panel → panneau de liste,Initialement j'avais proposé « volet » mais confirmation que c'est bien « panneau ».,Actif,Glossaire à MAJ
Écriture inclusive dans certains contextes,Politesse/registre,2025/10/06,"L'écriture inclusive avec point médian est requise dans certains segments (ex: déconnecté·e, informé·e)",if you're logged out → si vous êtes déconnecté·e ; you may not be notified → vous pourriez ne pas être informé·e,Demander confirmation si nécessaire selon le contexte.,Actif,Récurrent
Session articles centre d'aide : Map view et Place property,Autre,2025/10/06,Session de traduction d'articles du centre d'aide sur Notion Calendar. Plusieurs termes importants clarifiés.,panel = panneau (pas volet) ; Status property = propriété État ; expand/collapse = agrandir/réduire,,Actif,Récurrent
Status property = État (pas Statut),Terminologie,2025/10/06,Le type de propriété « Status » se traduit par « État » (avec majuscule),Status property → propriété État ; change the status → modifier l'état,À distinguer de « statut » en minuscule pour usage général.,Actif,"Glossaire à MAJ, Récurrent"
add-on = module complémentaire,Terminologie,2025/10/07,Traduire add-on par « module complémentaire ».,purchase add-on → acheter le module complémentaire,,Actif,"Glossaire à MAJ, Récurrent"
Titre document vs CTA pour « programme des créateurs »,Contexte UI,2025/10/07,Titre: « Candidature au programme des créateurs ». CTA: « Rejoindre » / « Postuler ».,Creator Program Application → Candidature au programme des créateurs,Distinguer titre nominal et bouton d’action.,Actif,Récurrent
CTA en français = infinitif,Contexte UI,2025/10/07,Les CTAs utilisent l’infinitif pour la cohérence et la scannabilité.,Upgrade to {tier} → Passer au forfait {tier} ; Join → Rejoindre,Aligné avec les directives Notion FR.,Actif,Récurrent
Statement of Work = cahier des charges,Terminologie,2025/10/07,Préférer « cahier des charges » à « énoncé des travaux » en UI.,View full statement of work → Voir le cahier des charges complet,« Complet » préférable à « entier ».,Actif,Glossaire à MAJ
Consulting (catégorie) = Conseil,Terminologie,2025/10/07,"Pour catégories/galerie : utiliser « Conseil » (court, naturel).",Consulting → Conseil ; Consulting kit → Kit pour cabinets de conseil,Variante selon contexte : « Services de conseil ».,Actif,"Glossaire à MAJ, Récurrent"
Accord avec « regrouper »,Typographie,2025/10/07,Accorder correctement avec le sujet : « que je la regroupe ».,regrouper (accord) → que je la regroupe,Point relevé dans un message au sujet d’une section.,Actif,
"Messages IA — verbes d’action (Updated, Created, drafted)",Terminologie,2025/10/07,"Employer des formes verbales complètes pour les messages IA : Updated → « A mis à jour », Created → « A créé », drafted → « créé »","Updated → A mis à jour
Created → A créé
drafted → créé",Formulations dans les messages IA. Éviter les nominalisations.,Actif,
Inline database,Terminologie,2025/10/07,Accepter deux variantes selon le contexte : « base de données en ligne » ou « base de données intégrée ».,inline database → base de données en ligne / base de données intégrée,Choisir la variante la plus naturelle selon l’audience.,Actif,
Priority geographies → marchés clés,Terminologie,2025/10/07,Traduire « Priority geographies » par « marchés clés ».,Priority geographies → marchés clés,Éviter « nouveaux marchés » qui ne rend pas la priorité.,Actif,
Build capabilities → Renforcer les capacités,Terminologie,2025/10/07,Traduire « Build capabilities » par « Renforcer les capacités » quand il s’agit d’améliorer l’existant. « Construire » uniquement si l’on part de zéro.,"Build capabilities → Renforcer les capacités
Alternative si création ex nihilo : Construire",,Actif,
Messages IA — formules de politesse,Style et ton,2025/10/07,Préférer « Souhaitez-vous » à « Voulez-vous » pour un ton plus poli. Utiliser « apporter des modifications » plutôt que « faire des modifications ».,"Voulez-vous… → Souhaitez-vous…
faire des modifications → apporter des modifications","Registre IA rédigée, hors simple traduction de segments.",Actif,
Revamp → Refondre,Terminologie,2025/10/07,Traduire « Revamp » par « Refondre » pour une transformation majeure. « Repenser » acceptable en UX selon le contexte.,"Revamp the feature → Refondre la fonctionnalité
Alternative (UX) : Repenser",Éviter « Réviser » (trop faible).,Actif,
Statut — Not started,Terminologie,2025/10/07,Traduire « Not started » par « Pas commencé ». Éviter « À faire » qui correspond à « To do ».,"Not started → Pas commencé
To do → À faire",Cohérence des statuts dans les bases et interfaces.,Actif,
« Tagged » dans propriétés = mentionné (pas étiqueté),Terminologie,2025/10/13,"Dans le contexte de personnes assignées/identifiées dans une propriété de base de données, « tagged » se traduit par « mentionné » ou « identifié », jamais « étiqueté » (trop littéral et non idiomatique en français).",People who are tagged in a person property → les personnes mentionnées dans une propriété de type Personne,,Actif,"Glossaire à MAJ, Récurrent"
Em dash (—) proscrit dans l'UI → utiliser :,Typographie,2025/10/13,"Le tiret cadratin (—) est proscrit dans l'interface Notion. Utiliser les deux-points (:) ou la virgule (,) à la place pour séparer les propositions.",You won't receive notifications — you'll only see the badge → vous ne recevrez pas de notifications : vous verrez seulement la pastille,,Actif,Récurrent
Tips au singulier = Conseil (pas Conseils),Style et ton,2025/10/13,"Quand 'Tips' introduit une astuce unique, traduire par 'Conseil' au singulier, même si l'anglais utilise le pluriel.",Tips: Board view columns are... → Conseil : les colonnes de la vue Tableau...,,Actif,Récurrent
Pas d'inclusivité pour les mots en -eur,Style et ton,2025/10/15,"Ne pas appliquer l'écriture inclusive aux noms et adjectifs se terminant en -eur (utilisateur, auteur, etc.). L'inclusivité s'applique normalement aux autres formes (participes passés, adjectifs en -é, etc.)","utilisateur → utilisateurs (pas « utilisateur·ices »)
ignoré → ignoré·es ✓
ajouté → ajouté·es ✓",Règle générale pour maintenir la fluidité de lecture sur ces termes fréquents.,Actif,Récurrent
journaux d'importation (pas d'import),Terminologie,2025/10/15,Utiliser le terme complet « importation » plutôt que l'abréviation « import » qui peut sonner anglicisme,import logs → journaux d'importation (pas « journaux d'import »),,Actif,Glossaire à MAJ
afficher > consulter pour visualisation UI,Terminologie,2025/10/15,Préférer « afficher » à « consulter » pour les actions de visualisation dans l'interface,Click here to view the import logs → Cliquez ici pour afficher les journaux d'importation (pas « consulter »),,Actif,Récurrent
"Tooltips : infinitif, pas impératif",Contexte UI,2025/10/15,Les tooltips utilisent l'infinitif pour décrire des actions (contrairement aux UI placeholders qui utilisent l'impératif),See your upcoming events → Consulter vos événements à venir (pas « Consultez »),"Référence : Directives de traduction, section 5. Contextes d'interface. Les placeholders de saisie utilisent l'impératif, mais pas les tooltips.",Actif,Récurrent
Cohérence des messages de succès similaires,Style et ton,2025/10/15,Des messages de succès qui décrivent des actions similaires doivent utiliser la même structure grammaticale pour maintenir la cohérence,Started filling all rows / Started filling N rows → Remplissage de toutes les lignes commencé / Remplissage de N lignes commencé,Important de repérer ces paires/séries de segments similaires et de les harmoniser.,Actif,Récurrent
« donner accès à » plus direct que « autoriser à accéder »,Style et ton,2025/10/20,"En interface, préférer « donner accès à l'intégration » plutôt que « autoriser l'intégration à accéder » (évite la double structure verbale, plus concis).",give permission to the integration to access → donner accès à l'intégration (pas « autoriser l'intégration à accéder »),"Ton direct pour interface, cohérent avec les directives (éviter « veuillez » et formulations lourdes).",Actif,Récurrent
Vérification systématique du glossaire avant traduction,Terminologie,2025/10/20,"Identifier d'abord les termes clés (produits Notion, fonctionnalités, éléments UI) dans le segment source, puis interroger le glossaire AVANT de traduire. Évite les erreurs comme « notes de réunion IA » au lieu de « Notes d'IA ».","AI Meeting Notes → Notes d'IA (pas « notes de réunion IA »)
Enterprise Plan → forfait Enterprise",Protocole ajouté aux Directives (section 1) et à la Checklist de Traduction. Cette vérification doit devenir un réflexe systématique.,Actif,Récurrent
« jongler entre » pour « move between » (contexte marketing),Style et ton,2025/10/20,"Pour des méta-descriptions marketing, « jongler entre » est plus dynamique et idiomatique que « passer entre » ou « naviguer entre » quand il s'agit de gérer plusieurs contextes.",move effortlessly between work and meetings → jongler facilement entre travail et réunions,Choix validé par Audrey. Contexte: méta-description pour « Create a Notion Calendar account ».,Actif,
Change management = gestion du changement,Terminologie,2025/10/20,"Dans un contexte organisationnel/consulting, ""change management"" = ""gestion du changement"" (pas ""gestion des modifications"" qui est technique)",Training and change management → formation et gestion du changement,,Actif,"Glossaire à MAJ, Récurrent"
Track record = historique démontré,Terminologie,2025/10/20,"""Track record"" se traduit par ""historique"", ""antécédents"", ""expérience démontrée"" ou ""expérience avérée"" selon le contexte","Proven track record → expérience avérée / historique confirmé (pas ""pratiques éprouvées"")",,Actif,Glossaire à MAJ
"""Upload"" ≠ télécharger",Terminologie,2025/10/20,"""Upload"" se traduit par ""charger"" ou ""importer"", jamais ""télécharger"" qui signifie ""download""","Upload a signed SOW → Charger un cahier des charges signé (pas ""télécharger"")",,Actif,"Récurrent, Urgent"
Personnes uniques = calque anglais,Style et ton,2025/10/20,"""Unique individuals"" ne se traduit pas par ""personnes uniques"" mais par ""personnes différentes"" ou ""individus distincts""",Held by unique individuals → détenues par des personnes différentes,,Actif,Récurrent
Se déconnecter vs déconnecter,Terminologie,2025/10/20,"Distinguer ""se déconnecter"" (logout - action réflexive) de ""déconnecter [quelque chose]"" (disconnect - action transitive sur une intégration/connexion)","Disconnect before setting up → déconnecter Slack (pas ""vous déconnecter"")",,Actif,Récurrent
Consultancy ≠ consultant,Terminologie,2025/10/20,"""Consultancy"" désigne un cabinet/société de conseil, pas un consultant individuel","Freelancer, consultancy, or systems integrator → freelance, cabinet de conseil ou intégrateur (pas ""consultant"")",,Actif,Glossaire à MAJ
Article défini avec Marketplace selon TMs,Terminologie,2025/10/20,"Utiliser ""la Marketplace"" (avec article défini) pour cohérence avec les Translation Memories existantes","On Marketplace → sur la Marketplace (pas ""sur Marketplace"")","Décision basée sur la cohérence TM, même si sans article serait acceptable",Actif,Glossaire à MAJ
Bandwidth (contexte RH) = capacité/disponibilité,Terminologie,2025/10/20,"""Bandwidth"" en contexte RH/ressources se traduit par ""capacité"", ""disponibilité"" ou ""disponibilité effective"" (pas ""bande passante"" qui est technique/réseau)",Real bandwidth and SLAs → capacité réelle et SLA,,Actif,Récurrent
"""Qualifier pour"" = anglicisme",Style et ton,2025/10/20,"""Qualify for"" ne se traduit pas littéralement par ""qualifier pour"". Préférer ""accéder à"", ""atteindre"" ou ""obtenir""","Qualify for higher tiers → accéder à des niveaux supérieurs (pas ""vous qualifier pour"")",,Actif,Récurrent
Delivery team = équipe de prestation,Terminologie,2025/10/20,"Dans le contexte consulting, ""delivery team"" = ""équipe de prestation"" ou ""équipe projet"" (pas ""équipe de livraison"")",Named delivery team → équipe de prestation désignée,,Actif,Glossaire à MAJ
"""Sur mesure"" pour customized/tailored ensemble",Terminologie,2025/10/21,"Quand EN utilise deux adjectifs ""customized, tailored"" ou ""personalized and tailored"", FR ""sur mesure"" suffit et évite redondance avec ""personnaliser""","Personalize... so it can be a customized, tailored teammate
✅ Personnalisez... un membre de votre équipe sur mesure
(Évite: personnalisé et adapté = lourd)",,Actif,
"Anti-pattern: ""sur lesquelles vous/votre équipe pouvez agir""",Style et ton,2025/10/21,"Éviter les formules lourdes comme ""sur lesquelles vous comptez"", ""pouvez agir sur"". Préférer verbes directs: utiliser, exploiter, travailler sur.","❌ Pages sur lesquelles vous et votre équipe pouvez agir
✅ Pages que vous et votre équipe pourrez exploiter/utiliser",Directive explicite dans le guide de style Notion,Actif,Récurrent
Tiret cadratin → point dans traductions,Typographie,2025/10/21,Remplacer tiret cadratin anglais par un point en français (sauf contrainte UI avec insécables). Directive explicite du guide.,"EN: your Agent can do it for you — from searching...
✅ Votre agent peut le faire pour vous. Qu'il s'agisse de rechercher...
(Ou avec °—° si obligé de garder le tiret)",,Actif,Récurrent
"Éviter répétitions multiples de ""votre agent"" → pronoms",Style et ton,2025/10/21,"Quand ""votre agent"" apparaît 3+ fois dans un même paragraphe, utiliser pronoms (il, lui, son) après la première mention pour alléger.","❌ Votre agent... avec votre agent... votre agent crée
✅ Votre agent... avec lui... qu'il crée",,Actif,Récurrent
"Scinder phrases avec trop de conjonctions ""et""",Style et ton,2025/10/21,"Quand ""et"" apparaît 3+ fois dans une phrase, envisager de scinder en deux phrases pour améliorer lisibilité.","EN: learns your style and ways, and you can name it and dress it up
❌ Apprend votre style et méthodes, et vous pouvez lui donner un nom et le personnaliser
✅ Apprend votre style et méthodes. Vous pouvez aussi lui donner un nom et le personnaliser.",Translation note suggérée: Split into two sentences to reduce conjunction overload and improve readability in French.,Actif,Récurrent
"Éviter répétitions de ""également"" dans une même phrase",Style et ton,2025/10/21,"Quand ""également"" ou ""aussi"" apparaît 3 fois en 2 phrases, varier avec synonymes ou restructurer. Alourdit la lecture.","❌ L'agent peut également... apprend également... vous pouvez également
✅ L'agent peut également... apprend aussi... vous pouvez [sans adverbe]",,Actif,Récurrent
"""Avis"" variante contextuelle de ""commentaire"" pour feedback",Terminologie,2025/10/21,"""Feedback"" = ""commentaire"" (glossaire), mais ""avis"" est préférable dans invites utilisateur engageantes (""Donnez votre avis"" vs ""Donnez un commentaire"")","Give feedback → Donnez votre avis (invite engageante)
Your feedback → Vos commentaires (contexte général)","Commentaire reste la traduction de base, avis est variante pour ton chaleureux",Actif,
in one place = en un seul endroit (pas au même endroit),Style et ton,2025/10/27,"""in one place"" met l'accent sur la centralisation (UN lieu unique), alors que ""au même endroit"" suggère plutôt ""at the same place"" (l'endroit habituel)",Manage your notes in one place → Gérez vos notes en un seul endroit,,Actif,Récurrent
Slider menu = menu déroulant (pas menu dépliant),Terminologie,2025/10/27,"Selon les TMs, ""slider menu"" se traduit par ""menu déroulant"" et non ""menu dépliant""",Open the slider menu → Ouvrez le menu déroulant,,Actif,"Glossaire à MAJ, Récurrent"
existing users ≠ anciens utilisateurs,Terminologie,2025/10/27,"""Existing users"" = utilisateurs existants/actuels ou ""ceux qui l'utilisent déjà"". ""Anciens"" suggère qu'ils ne sont plus utilisateurs","✓ for new and existing users alike → pour les nouveaux utilisateurs comme pour ceux qui l'utilisent déjà
❌ → pour les nouveaux utilisateurs comme pour les anciens",,Actif,Récurrent
"search: verbe = chercher, nom = recherche",Terminologie,2025/10/27,"Distinction importante entre le verbe et le nom pour ""search""","Search your notes (verbe) → Cherchez dans vos notes
The search feature (nom) → La fonction de recherche",,Actif,Récurrent
Noms de produits Notion: ne pas traduire,Terminologie,2025/10/27,Les noms de produits Notion restent en anglais avec insécable entre les mots composés,"✓ Notion°Calendar, Notion°Mail
❌ calendrier Notion, Courrier Notion","Référence: Notion/Style Guide (French), section Product names",Actif,Récurrent
Ne pas ajouter de mots absents de la source,Style et ton,2025/10/27,"Respecter strictement la source et ne pas ajouter de mots qui n'y figurent pas, même si ça semble améliorer le sens","❌ ""Enterprise Plan customers..."" → ""Seuls les clients du forfait Enterprise..."" (ajout de ""Seuls"")
✓ ""Enterprise Plan customers..."" → ""Les clients du forfait Enterprise...""",Référence: checklist Notion/Traduction,Actif,Récurrent
Emoji: insécable obligatoire après ponctuation,Typographie,2025/10/27,Les emojis se placent après la ponctuation avec un espace insécable (°) entre le point et l'emoji,"✓ ""Téléchargez l'extension.°📄""
❌ ""Téléchargez l'extension. 📄"" (sans insécable)","Référence: Notion/Style Guide (French), section Emoji use",Actif,Récurrent
Erreurs répétées : compter 1× avec liste des segments affectés,Autre,2025/11/10,"Lors de la révision de traductions Notion, les erreurs systématiques (même règle ignorée, ex: espaces insécables manquants) se comptent 1 seule fois avec notation des segments affectés. Les fautes de frappe/coquilles isolées se comptent chaque occurrence.","Point d'interrogation sans espace insécable dans segments 4772507441, 4772507443, 4772507444 → 1 erreur ""Language Quality - Punctuation - Minor (0.5 pt)"" sur 4772507441 avec commentaire ""(Also affects segments: 4772507443, 4772507444)"", puis code ""Neutral"" sans commentaire pour 4772507443 et 4772507444.","Cette pratique évite de pénaliser excessivement le traducteur pour une règle méconnue tout en documentant l'étendue du problème. Applicable uniquement aux erreurs systématiques, pas aux fautes ponctuelles.",Actif,Récurrent
Création et ajustement du Mode tr/notion/rev,Autre,2025/11/10,"Développement d'un mode spécialisé pour la révision de traductions Notion incluant : règle des erreurs répétées (compter 1× avec liste des segments), utilisation du code Neutral pour erreurs répétées sans commentaire, structure de tableaux de révision avec colonnes Ajusté/Code/Commentaire.","Première occurrence : code complet + commentaire avec ""(Also affects segments: X, Y)"". Occurrences suivantes : code ""Neutral"" sans commentaire.","Mode documenté dans Instructions → Pensine. Nécessite consultation du Quality Framework, Style Guide, et Glossaire.",Actif,Récurrent
Espaces insécables pour lier chiffres/numéros à leur mot parent,Typographie,2025/11/10,Les espaces insécables ne servent pas uniquement pour la ponctuation (! ? ; :) et les guillemets. Ils doivent aussi être utilisés pour lier un chiffre ou numéro à son mot parent afin d'éviter qu'ils soient séparés par un retour à la ligne.,"""lot {batchNumber}"" → ""lot°{batchNumber}"" | ""page 5"" → ""page°5"" | ""chapitre 3"" → ""chapitre°3""",S'applique aux variables de code/placeholders contenant des numéros tout comme aux chiffres littéraux.,Actif,Récurrent
Espace insécable avant emoji,Typographie,2025/11/11,"Toujours mettre un espace insécable entre une ponctuation finale (point, exclamation, interrogation) et un emoji",".°☁️ (point + emoji)
!°🎉 (exclamation + emoji)
?°🤔 (interrogation + emoji)","Empêche la séparation entre la ponctuation et l'emoji en fin de ligne, maintient la cohésion visuelle",Actif,Récurrent
Propriété URL ou texte : structure correcte,Terminologie,2025/11/11,"Quand on parle d'une propriété qui peut être de type URL OU texte, dire 'propriété URL ou texte' (singulier, une seule propriété avec deux types possibles). Ne PAS dire 'une URL ou une propriété de texte' (suggère deux choses distinctes).","✓ Utilisez une propriété URL ou texte
✓ Ajoutez une propriété de type URL ou texte
✗ Utilisez une URL ou une propriété de texte",Erreur récurrente tout au long de la session. Important pour la clarté et la précision.,Actif,"Glossaire à MAJ, Récurrent"
Chemins URL techniques : ne jamais traduire,Formats,2025/11/11,"Dans les formules qui construisent des URLs, les chemins techniques (comme /view, /edit, etc.) doivent TOUJOURS rester en anglais, même si on traduit les noms de propriétés dans la formule.","✓ prop(""ID de compte"") + ""/view""
✗ prop(""ID de compte"") + ""/vue""",Erreur détectée dans les segments de formules Salesforce. Les URLs ne fonctionneraient pas avec des chemins traduits.,Actif,Récurrent
Espaces insécables dans les nombres : seuil à 5 chiffres,Typographie,2025/11/11,"Utiliser un espace insécable comme séparateur de milliers UNIQUEMENT à partir de 5 chiffres (10 000+). Pour 4 chiffres ou moins (1000-9999), ne PAS mettre d'espace.","2000 (pas 2 000)
10°000 (avec espace insécable)
100°000 (avec espace insécable)",Règle confirmée dans le Style Guide Notion français. Source : section Numerals,Actif,Récurrent
is live ≠ est en arrivée,Terminologie,2025/11/13,"'is live' = déjà disponible/lancé (présent actif), ≠ 'est en arrivée' qui signifie futur/pas encore disponible. Sens opposés!","- is live → est disponible / est lancé / vient de sortir
- coming soon → arrive bientôt / est en arrivée",,Actif,"Récurrent, Urgent"
Prompts IA = impératif tutoiement,Contexte UI,2025/11/13,"Les exemples de prompts/instructions données à l'IA utilisent l'impératif tutoiement (2e personne singulier), comme instructions directes naturelles.","- List changes → Liste les modifications
- Summarize inbox → Résume ma boîte de réception
- Highlight tasks → Mets en évidence les tâches",,Actif,"Glossaire à MAJ, Récurrent"
Types de vue et propriétés techniques = majuscule,Terminologie,2025/11/13,"Les types de vue et propriétés Notion techniques prennent une majuscule au terme clé, même en milieu de phrase. Logique cohérente avec 'propriété État' du glossaire.","- map view → vue Carte
- place property → propriété Lieu
- text property → propriété Texte
- status property → propriété État",,Actif,"Glossaire à MAJ, Récurrent"
Varier 'désormais' dans newsletters,Style et ton,2025/11/13,"Dans les newsletters avec nombreux segments temporels, éviter répétition de 'désormais'. Varier avec : maintenant, dorénavant, à présent, aujourd'hui, ou restructurer sans marqueur.","Limiter à 1-2 occurrences max de 'désormais' par document, alterner avec variantes ou retirer.",,Actif,Récurrent
agent (minuscule) vs Agent (majuscule),Terminologie,2025/11/13,"Suivre la casse source : 'agent' (minuscule) quand c'est le concept général ou usage technique, 'Agent' (majuscule) quand c'est clairement le produit Notion.","- agent updates → mises à jour d'agent
- your Agent → votre Agent",,Actif,Récurrent
